target,target_key,seed,iteration,family,prompt_type,prompt_index,prompt,generated_path,clip_similarity,lpips,mse
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_compact_full,1,clear glass filled with fresh orange juice placed slightly right of center on warm brown tabletop with round wooden board on the left,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_001.png,0.9160680770874023,0.661485493183136,0.06012918800115585
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_compact_full,2,glass filled with orange juice next to sliced oranges on warm brown tabletop with round wooden board and soft neutral background,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_002.png,0.8975062370300293,0.7025604844093323,0.07435688376426697
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_compact_full,3,still life product shot of clear glass filled with fresh orange juice decorated with orange slices and pineapple pieces,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_003.png,0.8984310626983643,0.676044225692749,0.08080915361642838
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_compact_full,4,warm studio lighting close-up tabletop shot of clear glass filled with fresh orange juice placed right of center,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_004.png,0.8682202696800232,0.7344596982002258,0.10272760689258575
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_composition,5,"a clear glass filled with fresh orange juice, decorated with orange slices and small pineapple cubes, in a still life product shot, with a warm brown tabletop and soft neutral background",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_005.png,0.9087318778038025,0.6572731137275696,0.07765455543994904
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_composition,6,"a clear glass filled with fresh orange juice, decorated with orange slices, and pieces of pineapple, in a warm brown tabletop setup, with a round wooden board on the left and soft neutral background",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_006.png,0.9320698976516724,0.6480087637901306,0.07362775504589081
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_composition,7,"a clear glass filled with orange juice, with bright orange slices on the rim, in a still life product shot, featuring a warm brown tabletop, soft shadowy lighting, and gentle highlights",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_007.png,0.9048044681549072,0.6790767908096313,0.08848250657320023
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_composition,8,"a clear glass filled with fresh orange juice, surrounded by orange slices and small pineapple cubes, in a tabletop view, with a round wooden board on the left and a soft neutral background",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_008.png,0.9243442416191101,0.6449179649353027,0.07255939394235611
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_only,9,"a clear glass filled with fresh orange juice, decorated with slices of orange and fresh pineapple pieces, placed slightly to the right of center on a warm brown tabletop",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_009.png,0.8639163970947266,0.6579053401947021,0.07516809552907944
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_only,10,"a still life product shot of a clear glass filled with fresh orange juice, decorated with orange slices and pineapple pieces, on a warm brown tabletop with soft neutral background",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260603-151717_round1_llm_refinement/1159_25/candidate_010.png,0.9153259992599487,0.6511805057525635,0.07686133682727814
